Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*131 Büro*BY.R.L.2700.2700.1.31*0000000000004O87,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*132 W.A.*BY.R.L.2700.2700.1.32*0000000000004O99,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*133 Büro*BY.R.L.2700.2700.1.33*0000000000004OA7,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*134 Büro*BY.R.L.2700.2700.1.34*0000000000004O7N,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*135 Büro*BY.R.L.2700.2700.1.35*0000000000004O8O,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*136 Büro*BY.R.L.2700.2700.1.36*0000000000004O9L,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*137 Büro*BY.R.L.2700.2700.1.37*0000000000004O7C,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*138 WC-D*BY.R.L.2700.2700.1.38*0000000000004O83,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*139 WC-H*BY.R.L.2700.2700.1.39*0000000000004O96,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*140 Waschraum H*BY.R.L.2700.2700.1.40*0000000000004O8E,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*141 Flur*BY.R.L.2700.2700.1.41*0000000000004O9H,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*141A Flur*BY.R.L.2700.2700.1.41A*000000000000CDPN,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*142 Treppenhaus*BY.R.L.2700.2700.1.42*0000000000004O79,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*143 Flur*BY.R.L.2700.2700.1.43*0000000000004O7Z,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*144 Flur*BY.R.L.2700.2700.1.44*0000000000004O8T,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*145 Flur*BY.R.L.2700.2700.1.45*000000000000AMN6,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*146 Treppenhaus*BY.R.L.2700.2700.1.46*000000000000AMN7,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*147 Flur*BY.R.L.2700.2700.1.47*000000000000AMN8,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*148 Flur*BY.R.L.2700.2700.1.48*000000000000AMN9,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_1  OG1*149 Treppenhaus*BY.R.L.2700.2700.1.49*000000000000AMNA,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*201 W.A.*BY.R.L.2700.2700.2.01*0000000000004OD0,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*202 W.A.-Gäste*BY.R.L.2700.2700.2.02*0000000000004OAT,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*203 W.A.*BY.R.L.2700.2700.2.03*0000000000004OBK,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*204 Bibl.-Verwaltung*BY.R.L.2700.2700.2.04*0000000000004OCK,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*204A WC-D*BY.R.L.2700.2700.2.04A*0000000000004OB2,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*204B Dusche*BY.R.L.2700.2700.2.04B*0000000000004OC0,,,
